paper_year,paper_role,total_items,matched_items,ambiguous_items,unmatched_items,mapping_coverage,mapping_coverage_percentage
2019,2019 Development Paper,16,16,0,0,1.0,100.0
2020,2020 Challenge Paper,16,16,0,0,1.0,100.0
