epoch,loss,val_loss
0,0.5695134401321411,0.4984315037727356
1,0.46289363503456116,0.4080679416656494
2,0.36686626076698303,0.31925567984580994
3,0.2932489514350891,0.2680291533470154
4,0.25724098086357117,0.24534791707992554
5,0.23959030210971832,0.2329428344964981
6,0.22772672772407532,0.22296828031539917
7,0.21826912462711334,0.21263962984085083
8,0.20752806961536407,0.20253683626651764
9,0.1941177248954773,0.18244360387325287
10,0.17258889973163605,0.15798017382621765
11,0.14755649864673615,0.13266439735889435
12,0.1242024153470993,0.10795018076896667
13,0.10451813042163849,0.09217406064271927
14,0.08997835218906403,0.08004606515169144
