embedding_dimension,lstm_units,learning_rate,epochs_trained,best_epoch,best_validation_loss,Validation AUC
128,64,0.0005,15,12,0.6263686418533325,0.677360773600291
64,128,0.0005,15,14,0.6263620257377625,0.6768908912127789
128,128,0.0005,12,9,0.6267293691635132,0.6766806925916544
64,128,0.001,11,8,0.6267471313476562,0.6765805298847782
64,64,0.001,13,10,0.6267987489700317,0.676540778853851
64,64,0.0005,15,15,0.6267725229263306,0.6764963479551379
128,128,0.001,11,8,0.6266500949859619,0.676378965956793
128,64,0.001,11,8,0.6268967986106873,0.6763786533971556
