Model,Evaluation Population,Available Predictions,Coverage of All Test Interactions,Observed Correctness Rate,Decision Threshold,Threshold Source,Test AUC,PR AUC,Test Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Brier Score,Log Loss,False Positive Rate,False Negative Rate
BKT,Strict common interaction subset,219214,0.22311108125630386,0.5872207067066885,0.5,Fixed reference threshold,0.639742445102954,0.7000156711742428,0.6229802841059421,0.5627358057288168,0.6227379030754396,0.9080923194046315,0.7388193654405258,0.22888256245334992,0.6495145579168167,0.7826207079469979,0.0919076805953685
DKT,Strict common interaction subset,219214,0.22311108125630386,0.5872207067066885,0.5,Fixed reference threshold,0.6803375580920749,0.734101768109138,0.653133467752972,0.6149429612562194,0.6626253896725207,0.8338732356071376,0.7384511664063951,0.21790734375406723,0.625605679944665,0.6039873130946987,0.16612676439286242
Causal SAKT,Strict common interaction subset,219214,0.22311108125630386,0.5872207067066885,0.5,Fixed reference threshold,0.6762490851625665,0.7302228709732721,0.650569762880108,0.608615343864748,0.6565535219812233,0.8491225617003426,0.740523694996782,0.2188658240583449,0.627705055582034,0.6318918739708467,0.1508774382996574
