Model Pair,Model A,Model B,Interactions,Class Disagreement Count,Class Disagreement Rate,Mean Absolute Probability Difference,Median Absolute Probability Difference,Probability Correlation,Model A Win Rate Among Pairwise Disagreements,Model B Win Rate Among Pairwise Disagreements
BKT vs DKT,BKT,DKT,219214,70019,0.3194093442937039,0.09059705913995415,0.07319604370604604,0.6999113543662546,0.3762264528199489,0.6237735471800512
BKT vs Causal SAKT,BKT,Causal SAKT,219214,74325,0.33905225031248004,0.08742905752701555,0.07136969720314601,0.7046719555729305,0.37662966700302725,0.6233703329969728
DKT vs Causal SAKT,DKT,Causal SAKT,219214,25744,0.11743775488791774,0.04200269281864166,0.03319162130355835,0.9390236360702781,0.4804614667495339,0.5195385332504662
