epoch,loss,val_loss
0,0.6420300006866455,0.6306610107421875
1,0.6287983655929565,0.628567636013031
2,0.6270936727523804,0.6277319192886353
3,0.6260133385658264,0.6273379325866699
4,0.625056266784668,0.6272819638252258
5,0.6241025924682617,0.6272472739219666
6,0.6231513023376465,0.6267274618148804
7,0.6222372055053711,0.6262000799179077
8,0.6213698387145996,0.625831127166748
9,0.6205053329467773,0.6255999803543091
10,0.6196526885032654,0.6255360841751099
11,0.6188541650772095,0.6255364418029785
12,0.6180705428123474,0.6256160140037537
13,0.6172922253608704,0.6257377862930298
