Model,Maximum Sequence Length,Interactions,Learners,Negative Outcomes,Positive Outcomes,Decision Threshold,AUC,PR AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Brier Score,Log Loss,False Positive Rate,False Negative Rate,AUC 95% CI Lower,AUC 95% CI Upper,Completed Bootstrap Replicates
DKT,100,219214,4000,90487,128727,0.5,0.6803375580920749,0.734101768109138,0.653133467752972,0.6149429612562194,0.6626253896725207,0.8338732356071376,0.7384511664063951,0.21790734375406723,0.625605679944665,0.6039873130946987,0.16612676439286242,0.6763421691477051,0.684154336257049,200
DKT,200,219214,4000,90487,128727,0.5,0.6863809600061928,0.7401711905731391,0.6556378698440793,0.61623002572988,0.662733686282661,0.8421387898420689,0.7417422451514022,0.21654804229715896,0.6225510327986641,0.609678738382309,0.15786121015793111,0.6823759813756349,0.689537949607635,200
Causal SAKT,100,219214,4000,90487,128727,0.5,0.6762490851625665,0.7302228709732721,0.650569762880108,0.608615343864748,0.6565535219812233,0.8491225617003426,0.740523694996782,0.2188658240583449,0.627705055582034,0.6318918739708467,0.1508774382996574,0.6722065210899895,0.6796128570716364,200
Causal SAKT,200,219214,4000,90487,128727,0.5,0.6801954523279656,0.7343650638170046,0.6529509976552592,0.6118510099500435,0.6590287133079205,0.8474601287997079,0.7414599333922381,0.21795725883036804,0.6256620842924476,0.6237581088996209,0.15253987120029208,0.6760267046329054,0.6837789238302586,200
