Model,Evaluation Population,Available Predictions,Coverage of All Test Interactions,Observed Correctness Rate,Decision Threshold,Threshold Source,Test AUC,PR AUC,Test Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Brier Score,Log Loss,False Positive Rate,False Negative Rate
BKT,All available BKT predictions,982533,1.0,0.6537907632618956,0.6714042137375336,Validation-selected Youden J,0.6299678039646299,0.7494722255874072,0.5786421422995461,0.5922602275227817,0.740065636911407,0.5479855099311769,0.6297036362563035,0.21533871524969772,0.6205824919718697,0.3634650548856133,0.45201449006882316
DKT,All available seed-averaged DKT predictions,219214,0.22311108125630386,0.5872207067066885,0.5888236165046692,Validation-selected Youden J,0.6803375580920749,0.734101768109138,0.6332122948351839,0.6279440391007941,0.6994798546895641,0.6581447559564039,0.6781830480253915,0.21790734375406723,0.625605679944665,0.4022566777548156,0.34185524404359613
Causal SAKT,All available seed-averaged causal SAKT predictions,219214,0.22311108125630386,0.5872207067066885,0.5834112763404846,Validation-selected Youden J,0.6762490851625665,0.7302228709732721,0.6378014177926592,0.6254678696521048,0.6898632836556227,0.696170966463912,0.693002772289478,0.2188658240583449,0.627705055582034,0.4452352271597025,0.303829033536088
