Model,Comparison,AUC Difference,Difference 95% CI Lower,Difference 95% CI Upper,Completed Bootstrap Replicates,CI Excludes Zero
DKT,Length 200 minus length 100,0.006043401914117896,0.005470168449418616,0.006724693092520545,200,True
Causal SAKT,Length 200 minus length 100,0.0039463671653990895,0.0031499871393170786,0.004942921657901511,200,True
