Model,Common Interactions,Test AUC,Test Accuracy,Observed Correctness Rate
BKT,219214,0.639742445102954,0.6229802841059421,0.5872207067066885
DKT,219214,0.6601639940738904,0.6419389272582956,0.5872207067066885
Causal SAKT,219214,0.6567231823522219,0.6395941865026868,0.5872207067066885
