Model,Preliminary Test AUC,Final Tuned Test AUC,AUC Change,Preliminary Test Accuracy,Final Tuned Test Accuracy
DKT,0.6593035395148854,0.6601639940738904,0.0008604545590049639,0.6405795250303357,0.6419389272582956
Causal SAKT,0.656547322514636,0.6567231823522219,0.00017585983758594548,0.6400138677274262,0.6395941865026868
