Model,Evaluation Population,Available Predictions,Coverage of All Test Interactions,Observed Correctness Rate,Test AUC,Test Accuracy,Brier Score,Log Loss,False Positive Rate,False Negative Rate
BKT,Strict common interaction subset,219214,0.22311108125630386,0.5872207067066885,0.639742445102954,0.6229802841059421,0.22888256245334992,0.6495145579168167,0.7826207079469979,0.0919076805953685
DKT,Strict common interaction subset,219214,0.22311108125630386,0.5872207067066885,0.6601639940738904,0.6419389272582956,0.2223533651401026,0.6353909264531918,0.6626034679014665,0.14398688697786788
Causal SAKT,Strict common interaction subset,219214,0.22311108125630386,0.5872207067066885,0.6567231823522219,0.6395941865026868,0.22359657411734923,0.6382549321816834,0.6956910937482732,0.12472130943780248
