Dimension,Stratum,Model,Interactions,Learners,Negative Outcomes,Positive Outcomes,Decision Threshold,AUC,PR AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,Brier Score,Log Loss,False Positive Rate,False Negative Rate,AUC 95% CI Lower,AUC 95% CI Upper,Completed Bootstrap Replicates,Overall Common-Subset AUC,AUC Change from Overall,Adequate Sample,Potential Failure Mode,Failure Assessment
Available History Stratum,Cold start (1-5 prior),DKT,14030,2815,7343,6687,0.5888236165046692,0.6454567789948407,0.6322863892320856,0.5888096935138988,0.5735036023826091,0.6933445661331087,0.2461492448033498,0.3633153073612184,0.23192773081451296,0.6549963745431449,0.09914204003813155,0.7538507551966502,0.6349528961859863,0.6544760944749947,200,0.6803375580920749,-0.034880779097234194,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Cold start (1-5 prior),Causal SAKT,14030,2815,7343,6687,0.5834112763404846,0.6377699419467071,0.6299799575907956,0.5922309337134711,0.5788828649766516,0.6632860040567952,0.2934051144010767,0.40684292379471226,0.2331360144237613,0.6571684408086297,0.1356393844477734,0.7065948855989233,0.6293580370146474,0.6467524482104106,200,0.6762490851625665,-0.038479143215859435,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Established history (51-100 prior),BKT,25713,903,9532,16181,0.6714042137375336,0.6028656059391915,0.7111024299563821,0.5077976121028274,0.5649314142522679,0.7316944919153411,0.34398368456832085,0.46796704220615437,0.22594408631933127,0.6433491690585019,0.21412085606378514,0.6560163154316792,0.5933817567630271,0.6134353706890348,200,0.639742445102954,-0.0368768391637625,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Experienced history (101-500 prior),BKT,58504,816,21207,37297,0.6714042137375336,0.5975987541044543,0.7116288094218883,0.520425953780938,0.5649080087906976,0.721752903907075,0.40316915569616857,0.5173487467960297,0.22491061135984677,0.6414180932399899,0.2733531381147734,0.5968308443038314,0.5908721423229194,0.6038744465253237,200,0.639742445102954,-0.04214369099849968,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Experienced history (101-500 prior),DKT,58504,816,21207,37297,0.5888236165046692,0.6363927320548164,0.7392238736786616,0.6351531519212361,0.5920201451183194,0.6998596772576927,0.7488537952114112,0.7235282688945016,0.21820618827205443,0.6267870392554636,0.5648135049747725,0.2511462047885889,0.6287907490487952,0.6434416159763132,200,0.6803375580920749,-0.043944826037258466,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Experienced history (101-500 prior),Causal SAKT,58504,816,21207,37297,0.5834112763404846,0.6298384239691853,0.7330270402665905,0.6435628333105429,0.5815994041570975,0.6879486124445664,0.8069013593586616,0.7426921510802907,0.21963968586623267,0.6300531035315089,0.6437025510444665,0.19309864064133844,0.622475540223616,0.6386627023791654,200,0.6762490851625665,-0.04641066119338122,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Extensive history (501+ prior),DKT,40591,443,13823,26768,0.5888236165046692,0.6349407261989911,0.7622234608732676,0.6444039319060876,0.5801607665377823,0.7089800067773636,0.7816049013747759,0.7435232239951669,0.21323609064286358,0.6155048020858928,0.6212833682992115,0.21839509862522416,0.6256582265895793,0.6466615509839204,200,0.6803375580920749,-0.045396831893083744,True,True,POTENTIAL FAILURE MODE
Available History Stratum,Extensive history (501+ prior),Causal SAKT,40591,443,13823,26768,0.5834112763404846,0.6311456609930373,0.7592815592265953,0.6548003251952403,0.5709355712489891,0.7000125439036629,0.8339061566049014,0.7611156573922532,0.21369145918249075,0.6166584775828347,0.6920350141069233,0.1660938433950986,0.6198876358930658,0.6418175469987839,200,0.6762490851625665,-0.04510342416952928,True,True,POTENTIAL FAILURE MODE
