Model,Seeds,Mean_Test_AUC,SD_Test_AUC,Minimum_Test_AUC,Maximum_Test_AUC
Causal SAKT,3,0.6730747324191375,0.0007460331159487407,0.6722261839731146,0.6736276128673337
DKT,3,0.6781180344071732,0.0003866367312553217,0.6776742553986362,0.6783821507470111
