Model,Overall Accuracy,Accuracy on Class-Disagreement Interactions,Sole Correct Count,Sole Correct Rate,Sole Incorrect Count,Sole Incorrect Rate
BKT,0.554143439743812,0.3905625323362024,21121,0.09634877334476813,38179,0.17416314651436496
DKT,0.6332122948351839,0.5943746766379756,5497,0.025075953178172926,5222,0.023821471256397858
Causal SAKT,0.6378014177926592,0.606203847420159,8153,0.03719196766629868,6872,0.03134836278704827
