Dimension,Stratum,Interactions,Learners,Class Disagreement Rate,Class Disagreement 95% CI Lower,Class Disagreement 95% CI Upper,Large Probability Disagreement Rate,Mean Probability Range,Completed Bootstrap Replicates
Available History Stratum,Cold start (1-5 prior),14030,2815,0.22751247327156093,0.22110739512105337,0.23422035310641065,0.042979330007127586,0.13612642835238722,200
Available History Stratum,Early history (6-20 prior),39787,2892,0.2358559328423857,0.22869610540088514,0.24346860844878468,0.059089652399024806,0.12568556872137476,200
Available History Stratum,Developing history (21-50 prior),40589,2342,0.39372736455689966,0.3842942176901429,0.40271757920412593,0.10318066471211412,0.12397926945041789,200
Available History Stratum,Established history (51-100 prior),25713,903,0.4926301870649088,0.4773631955779606,0.5085334844578797,0.04056313926807451,0.10205695817868639,200
Available History Stratum,Experienced history (101-500 prior),58504,816,0.49528237385477913,0.4837560889078186,0.5070286709617363,0.02709216463831533,0.09662608935624896,200
Available History Stratum,Extensive history (501+ prior),40591,443,0.36569682934640685,0.35263493644490806,0.3830589062548905,0.027641595427557834,0.09600143657923316,200
Skill Frequency Group,Common skill (top 75%),206602,4000,0.38969613072477516,0.3830467215987864,0.3965092673931245,0.05125313404516897,0.11079052864671553,200
Skill Frequency Group,Rare skill (bottom 25%),12612,2931,0.3593403108150967,0.3495350008193111,0.3696161727327804,0.024024738344433874,0.09730041946478125,200
