epoch,loss,val_loss
0,0.6453236937522888,0.6332404613494873
1,0.6322751641273499,0.6314141750335693
2,0.630348801612854,0.630545973777771
3,0.6290391087532043,0.6300204992294312
4,0.6278951168060303,0.6296324133872986
5,0.6270469427108765,0.6293219923973083
6,0.6263383030891418,0.6291700601577759
7,0.6255956292152405,0.629155158996582
8,0.625063955783844,0.6290979981422424
9,0.6244505643844604,0.6291024684906006
10,0.6241070628166199,0.6290407776832581
11,0.6236127018928528,0.6290745735168457
12,0.623088002204895,0.6291244029998779
13,0.6227489113807678,0.629154622554779
