Model,Seed,Test AUC,Accuracy at 0.50,Accuracy at Validation Threshold,Balanced Accuracy at Validation Threshold
DKT,42,0.6782976970758725,0.6518470535640972,0.6322087092977638,0.6262211816855563
DKT,43,0.6776742553986362,0.6518059977921118,0.6301011796691817,0.625467376181916
DKT,44,0.6783821507470111,0.6513635078051584,0.6314879524117986,0.6268254480367264
Causal SAKT,42,0.6736276128673337,0.6491510578703915,0.637354366053263,0.6230009150809706
Causal SAKT,43,0.6722261839731146,0.6477369146131178,0.6313191675714143,0.6234628170426062
Causal SAKT,44,0.6733704004169643,0.6485078507759541,0.6378059795451021,0.623250849532861
