Model,Interactions,Expected Calibration Error,Brier Score
BKT,219214,0.030168927105559153,0.22888256245334992
DKT,219214,0.0017031154519174712,0.21790734375406723
Causal SAKT,219214,0.008239767785926399,0.2188658240583449
